Type,Name
Query,allApplications
Query,getApplicationByUrn
Query,getProfileLocked
Query,getAllSubmittedExams
Query,UserDetailsByUrn
Query,updateUserProfileCompletionStatus
Query,getPaymentDetails
Query,unlockCaf
Mutation,addApplicant
Mutation,updateApplicantAgeRelaxation,profileLock
Mutation,updateApplicantEssentialQualification,profileLock
Mutation,updateApplicantEssentialExperience,profileLock
Mutation,updateApplicantDesirableQualification,profileLock
Mutation,updateApplicantDesirableExperience,profileLock
Mutation,updateApplicantAdditionalQualification,profileLock
Mutation,updateApplicantAdditionalExperience,profileLock
Mutation,updateApplicantNet,profileLock
Mutation,updateApplicantGate,profileLock
Mutation,updateApplicantDiploma,profileLock
Mutation,updateApplicantInternship,profileLock
Mutation,updateApplicantPublication,profileLock
Mutation,updateApplicantConference,profileLock
Mutation,updateApplicantProfessionalReg,profileLock
Mutation,updateApplicantLanguage,profileLock
Mutation,updateApplicantMiscellaneous,profileLock
Mutation,updateApplicantOtherDocs,profileLock
Mutation,updateApplicantExamCenter
Mutation,updateApplicantProfileLock
Mutation,unlockProfile
Mutation,updateApplicantPayment
Mutation,submitApplication
Mutation,deleteAccount
